freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0102,0,0,0,0.81,14.2499
1,0.0102,0,0,0,0.94,14.3630
1,0.0102,0,0,0,1.07,14.4336
1,0.0102,0,0,0,1.20,14.4920
1,0.0102,0,0,0,1.33,14.5887
1,0.0102,0,0,0,1.46,14.6475
1,0.0102,0,0,0,1.59,14.7189
1,0.0102,0,0,0,1.72,14.7226
1,0.0102,0,0,0,1.85,14.7652
1,0.0102,0,0,0,1.98,14.8526
1,0.0102,0,0,0,2.11,14.9097
1,0.0102,0,0,0,2.24,14.9979
1,0.0102,0,0,0,2.37,15.0072
1,0.0102,0,0,0,2.50,15.0557
1,0.0100,0,0,0,-4.00,18.0016
1,0.0100,0,0,0,-3.87,18.0073
1,0.0100,0,0,0,-3.74,18.0044
1,0.0100,0,0,0,-3.61,17.9623
1,0.0100,0,0,0,-3.48,17.9145
1,0.0100,0,0,0,-3.35,17.9310
1,0.0100,0,0,0,-3.22,17.9031
1,0.0100,0,0,0,-3.09,17.8719
1,0.0100,0,0,0,-2.96,17.7930
1,0.0100,0,0,0,-2.83,17.8205
1,0.0100,0,0,0,-2.70,17.6829
1,0.0100,0,0,0,-2.57,17.6810
1,0.0100,0,0,0,-2.44,17.5993
1,0.0100,0,0,0,-2.31,17.4648
1,0.0100,0,0,0,-2.18,17.3567
1,0.0100,0,0,0,-2.05,17.2237
1,0.0100,0,0,0,-1.92,16.9315
1,0.0100,0,0,0,-1.79,16.6711
1,0.0100,0,0,0,-1.66,16.2598
1,0.0100,0,0,0,-1.53,15.5258
1,0.0100,0,0,0,-1.40,14.3345
1,0.0100,0,0,0,-1.27,11.9938
1,0.0100,0,0,0,-1.14,8.2743
1,0.0100,0,0,0,-1.01,5.2854
1,0.0100,0,0,0,-0.88,4.0197
1,0.0100,0,0,0,-0.75,3.4497
1,0.0100,0,0,0,-0.62,4.0209
1,0.0100,0,0,0,-0.49,9.2455
1,0.0100,0,0,0,-0.36,13.5560
1,0.0100,0,0,0,-0.23,15.1011
1,0.0100,0,0,0,-0.10,15.8363
1,0.0100,0,0,0,0.03,16.2266
1,0.0100,0,0,0,0.16,16.5552
1,0.0100,0,0,0,0.29,16.7391
1,0.0100,0,0,0,0.42,16.8916
1,0.0100,0,0,0,0.55,17.0252
1,0.0100,0,0,0,0.68,17.1113
1,0.0100,0,0,0,0.81,17.1880
1,0.0100,0,0,0,0.94,17.2568
1,0.0100,0,0,0,1.07,17.3077
1,0.0100,0,0,0,1.20,17.3910
1,0.0100,0,0,0,1.33,17.3365
1,0.0100,0,0,0,1.46,17.4444
1,0.0100,0,0,0,1.59,17.4210
1,0.0100,0,0,0,1.72,17.5094
1,0.0100,0,0,0,1.85,17.4587
1,0.0100,0,0,0,1.98,17.5442
1,0.0100,0,0,0,2.11,17.5781
1,0.0100,0,0,0,2.24,17.5568
1,0.0100,0,0,0,2.37,17.6157
1,0.0100,0,0,0,2.50,17.6058
1,0.0026,0,0,0,-4.00,4.5475
1,0.0026,0,0,0,-3.87,4.5497
1,0.0026,0,0,0,-3.74,4.5433
1,0.0026,0,0,0,-3.61,4.5482
1,0.0026,0,0,0,-3.48,4.5277
1,0.0026,0,0,0,-3.35,4.5432
1,0.0026,0,0,0,-3.22,4.5365
1,0.0026,0,0,0,-3.09,4.5130
1,0.0026,0,0,0,-2.96,4.5053
1,0.0026,0,0,0,-2.83,4.4868
1,0.0026,0,0,0,-2.70,4.4651
1,0.0026,0,0,0,-2.57,4.4468
1,0.0026,0,0,0,-2.44,4.4355
1,0.0026,0,0,0,-2.31,4.4053
1,0.0026,0,0,0,-2.18,4.3735
1,0.0026,0,0,0,-2.05,4.3198
1,0.0026,0,0,0,-1.92,4.2600
1,0.0026,0,0,0,-1.79,4.1662
1,0.0026,0,0,0,-1.66,4.0482
1,0.0026,0,0,0,-1.53,3.8041
1,0.0026,0,0,0,-1.40,3.4042
1,0.0026,0,0,0,-1.27,2.7129
1,0.0026,0,0,0,-1.14,1.7906
1,0.0026,0,0,0,-1.01,1.2962
1,0.0026,0,0,0,-0.88,0.9676
1,0.0026,0,0,0,-0.75,0.8447
1,0.0026,0,0,0,-0.62,0.9865
1,0.0026,0,0,0,-0.49,1.8569
1,0.0026,0,0,0,-0.36,3.0529
1,0.0026,0,0,0,-0.23,3.4759
1,0.0026,0,0,0,-0.10,3.6722
1,0.0026,0,0,0,0.03,3.7562
1,0.0026,0,0,0,0.16,3.8371
1,0.0026,0,0,0,0.29,3.8808
1,0.0026,0,0,0,0.42,3.9540
1,0.0026,0,0,0,0.55,3.9980
1,0.0026,0,0,0,0.68,4.0222
1,0.0026,0,0,0,0.81,4.0327
1,0.0026,0,0,0,0.94,4.0803
1,0.0026,0,0,0,1.07,4.0850
1,0.0026,0,0,0,1.20,4.0965
1,0.0026,0,0,0,1.33,4.1255
