freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.0102,0,1,0,-0.36,11.038,0
1,0.0102,0,1,0,-0.23,12.7107,0
1,0.0102,0,1,0,-0.1,13.4626,0
1,0.0102,0,1,0,0.03,13.8829,0
1,0.0102,0,1,0,0.16,14.1693,0
1,0.0102,0,1,0,0.29,14.3987,0
1,0.0102,0,1,0,0.42,14.5493,0
1,0.0102,0,1,0,0.55,14.6027,0
1,0.0102,0,1,0,0.68,14.714,0
1,0.0102,0,1,0,0.81,14.7632,0
1,0.0102,0,1,0,0.94,14.7794,0
1,0.0102,0,1,0,1.07,14.915,0
1,0.0102,0,1,0,1.2,14.8758,0
1,0.0102,0,1,0,1.33,14.927,0
1,0.0102,0,1,0,1.46,14.948,0
1,0.0102,0,1,0,1.59,15.0042,0
1,0.0102,0,1,0,1.72,15.0454,0
1,0.0102,0,1,0,1.85,14.9849,0
1,0.0102,0,1,0,1.98,15.1467,0
1,0.0102,0,1,0,2.11,15.0779,0
1,0.0102,0,1,0,2.24,15.1081,0
1,0.0102,0,1,0,2.37,15.1648,0
1,0.0102,0,1,0,2.5,15.0971,0
1,0.01,0,1,0,-4,15.2703,0
1,0.01,0,1,0,-3.87,15.2277,0
1,0.01,0,1,0,-3.74,15.2501,0
1,0.01,0,1,0,-3.61,15.2188,0
1,0.01,0,1,0,-3.48,15.1662,0
1,0.01,0,1,0,-3.35,15.1376,0
1,0.01,0,1,0,-3.22,15.1356,0
1,0.01,0,1,0,-3.09,15.0486,0
1,0.01,0,1,0,-2.96,15.0963,0
1,0.01,0,1,0,-2.83,15.0714,0
1,0.01,0,1,0,-2.7,14.9707,0
1,0.01,0,1,0,-2.57,14.9425,0
1,0.01,0,1,0,-2.44,14.8983,0
1,0.01,0,1,0,-2.31,14.8038,0
1,0.01,0,1,0,-2.18,14.7434,0
1,0.01,0,1,0,-2.05,14.5432,0
1,0.01,0,1,0,-1.92,14.4224,0
1,0.01,0,1,0,-1.79,14.181,0
1,0.01,0,1,0,-1.66,13.784,0
1,0.01,0,1,0,-1.53,13.3633,0
1,0.01,0,1,0,-1.4,12.5168,0
1,0.01,0,1,0,-1.27,10.7562,0
1,0.01,0,1,0,-1.14,7.7418,0
1,0.01,0,1,0,-1.01,4.9724,0
1,0.01,0,1,0,-0.88,4.1843,0
1,0.01,0,1,0,-0.75,3.2866,0
1,0.01,0,1,0,-0.62,3.654,0
1,0.01,0,1,0,-0.49,5.1587,0
1,0.01,0,1,0,-0.36,9.1924,0
1,0.01,0,1,0,-0.23,11.2772,0
1,0.01,0,1,0,-0.1,12.0835,0
1,0.01,0,1,0,0.03,12.5505,0
1,0.01,0,1,0,0.16,12.8174,0
1,0.01,0,1,0,0.29,12.9097,0
1,0.01,0,1,0,0.42,13.1085,0
1,0.01,0,1,0,0.55,13.1734,0
1,0.01,0,1,0,0.68,13.2932,0
1,0.01,0,1,0,0.81,13.3166,0
1,0.01,0,1,0,0.94,13.4176,0
1,0.01,0,1,0,1.07,13.4567,0
1,0.01,0,1,0,1.2,13.5072,0
1,0.01,0,1,0,1.33,13.5686,0
1,0.01,0,1,0,1.46,13.5377,0
1,0.01,0,1,0,1.59,13.5936,0
1,0.01,0,1,0,1.72,13.5981,0
1,0.01,0,1,0,1.85,13.6089,0
1,0.01,0,1,0,1.98,13.6609,0
1,0.01,0,1,0,2.11,13.6275,0
1,0.01,0,1,0,2.24,13.6465,0
1,0.01,0,1,0,2.37,13.6831,0
1,0.01,0,1,0,2.5,13.7779,0
1,0.0026,0,1,0,-4,3.8537,0
1,0.0026,0,1,0,-3.87,3.8493,0
1,0.0026,0,1,0,-3.74,3.8284,0
1,0.0026,0,1,0,-3.61,3.8209,0
1,0.0026,0,1,0,-3.48,3.8161,0
1,0.0026,0,1,0,-3.35,3.8115,0
1,0.0026,0,1,0,-3.22,3.8154,0
1,0.0026,0,1,0,-3.09,3.7947,0
1,0.0026,0,1,0,-2.96,3.7641,0
1,0.0026,0,1,0,-2.83,3.7542,0
1,0.0026,0,1,0,-2.7,3.7681,0
1,0.0026,0,1,0,-2.57,3.744,0
1,0.0026,0,1,0,-2.44,3.7138,0
1,0.0026,0,1,0,-2.31,3.6858,0
1,0.0026,0,1,0,-2.18,3.6534,0
1,0.0026,0,1,0,-2.05,3.612,0
1,0.0026,0,1,0,-1.92,3.5729,0
1,0.0026,0,1,0,-1.79,3.488,0
1,0.0026,0,1,0,-1.66,3.3778,0
1,0.0026,0,1,0,-1.53,3.1972,0
1,0.0026,0,1,0,-1.4,2.8739,0
1,0.0026,0,1,0,-1.27,2.2873,0
1,0.0026,0,1,0,-1.14,1.5502,0
1,0.0026,0,1,0,-1.01,1.2178,0
1,0.0026,0,1,0,-0.88,0.9506,0
1,0.0026,0,1,0,-0.75,0.8825,0
1,0.0026,0,1,0,-0.62,1.105,0
1,0.0026,0,1,0,-0.49,1.745,0
1,0.0026,0,1,0,-0.36,2.6278,0
1,0.0026,0,1,0,-0.23,3.0654,0
1,0.0026,0,1,0,-0.1,3.2537,0
1,0.0026,0,1,0,0.03,3.3491,0
1,0.0026,0,1,0,0.16,3.4072,0
1,0.0026,0,1,0,0.29,3.472,0
1,0.0026,0,1,0,0.42,3.504,0
1,0.0026,0,1,0,0.55,3.5357,0
1,0.0026,0,1,0,0.68,3.5612,0
1,0.0026,0,1,0,0.81,3.621,0
