freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0102,0,1,0,1.2,14.8758
1,0.0102,0,1,0,1.33,14.927
1,0.0102,0,1,0,1.46,14.948
1,0.0102,0,1,0,1.59,15.0042
1,0.0102,0,1,0,1.72,15.0454
1,0.0102,0,1,0,1.85,14.9849
1,0.0102,0,1,0,1.98,15.1467
1,0.0102,0,1,0,2.11,15.0779
1,0.0102,0,1,0,2.24,15.1081
1,0.0102,0,1,0,2.37,15.1648
1,0.0102,0,1,0,2.5,15.0971
1,0.01,0,1,0,-4,15.2703
1,0.01,0,1,0,-3.87,15.2277
1,0.01,0,1,0,-3.74,15.2501
1,0.01,0,1,0,-3.61,15.2188
1,0.01,0,1,0,-3.48,15.1662
1,0.01,0,1,0,-3.35,15.1376
1,0.01,0,1,0,-3.22,15.1356
1,0.01,0,1,0,-3.09,15.0486
1,0.01,0,1,0,-2.96,15.0963
1,0.01,0,1,0,-2.83,15.0714
1,0.01,0,1,0,-2.7,14.9707
1,0.01,0,1,0,-2.57,14.9425
1,0.01,0,1,0,-2.44,14.8983
1,0.01,0,1,0,-2.31,14.8038
1,0.01,0,1,0,-2.18,14.7434
1,0.01,0,1,0,-2.05,14.5432
1,0.01,0,1,0,-1.92,14.4224
1,0.01,0,1,0,-1.79,14.181
1,0.01,0,1,0,-1.66,13.784
1,0.01,0,1,0,-1.53,13.3633
1,0.01,0,1,0,-1.4,12.5168
1,0.01,0,1,0,-1.27,10.7562
1,0.01,0,1,0,-1.14,7.7418
1,0.01,0,1,0,-1.01,4.9724
1,0.01,0,1,0,-0.88,4.1843
1,0.01,0,1,0,-0.75,3.2866
1,0.01,0,1,0,-0.62,3.654
1,0.01,0,1,0,-0.49,5.1587
1,0.01,0,1,0,-0.36,9.1924
1,0.01,0,1,0,-0.23,11.2772
1,0.01,0,1,0,-0.1,12.0835
1,0.01,0,1,0,0.03,12.5505
1,0.01,0,1,0,0.16,12.8174
1,0.01,0,1,0,0.29,12.9097
1,0.01,0,1,0,0.42,13.1085
1,0.01,0,1,0,0.55,13.1734
1,0.01,0,1,0,0.68,13.2932
1,0.01,0,1,0,0.81,13.3166
1,0.01,0,1,0,0.94,13.4176
1,0.01,0,1,0,1.07,13.4567
1,0.01,0,1,0,1.2,13.5072
1,0.01,0,1,0,1.33,13.5686
1,0.01,0,1,0,1.46,13.5377
1,0.01,0,1,0,1.59,13.5936
1,0.01,0,1,0,1.72,13.5981
1,0.01,0,1,0,1.85,13.6089
1,0.01,0,1,0,1.98,13.6609
1,0.01,0,1,0,2.11,13.6275
1,0.01,0,1,0,2.24,13.6465
1,0.01,0,1,0,2.37,13.6831
1,0.01,0,1,0,2.5,13.7779
1,0.0026,0,1,0,-4,3.8537
1,0.0026,0,1,0,-3.87,3.8493
1,0.0026,0,1,0,-3.74,3.8284
1,0.0026,0,1,0,-3.61,3.8209
1,0.0026,0,1,0,-3.48,3.8161
1,0.0026,0,1,0,-3.35,3.8115
