frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,7.618307590484619
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,7.581150054931641
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,7.533166408538818
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,7.4820661544799805
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,7.433356761932373
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,7.387696266174316
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,7.355226039886475
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,7.300478935241699
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,7.297641754150391
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,7.268413543701172
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,7.2439703941345215
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,7.280947685241699
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,7.311410903930664
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,7.330245494842529
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,7.349076747894287
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,7.3560004234313965
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,7.203988075256348
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,6.995323657989502
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,6.734621047973633
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,6.189760208129883
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,5.883004188537598
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.966887950897217
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,3.4294755458831787
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.115048885345459
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,1.5456042289733887
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,1.6469945907592773
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,2.155794143676758
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,3.5555033683776855
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,5.137800216674805
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.0396833419799805
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,6.439628601074219
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,6.682388782501221
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,6.830593109130859
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,6.9209513664245605
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.010451793670654
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,7.070356845855713
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.098858833312988
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.9858,7.125888824462891
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.0149,7.152881622314453
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,7.180243015289307
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,7.207651615142822
1.0,0.005,0.0,1.0,0.0,1.33,7.1137,7.235062599182129
1.0,0.005,0.0,1.0,0.0,1.4600000000000002,7.1077,7.262475967407227
1.0,0.005,0.0,1.0,0.0,1.5900000000000003,7.1404,7.289882659912109
1.0,0.005,0.0,1.0,0.0,1.7200000000000004,7.1725,7.317294120788574
1.0,0.005,0.0,1.0,0.0,1.8500000000000005,7.1873,7.34470272064209
1.0,0.005,0.0,1.0,0.0,1.98,7.2038,7.3721137046813965
1.0,0.005,0.0,1.0,0.0,2.11,7.2047,7.385822772979736
1.0,0.005,0.0,1.0,0.0,2.24,7.2332,7.391108512878418
1.0,0.005,0.0,1.0,0.0,2.37,7.2412,7.396392345428467
1.0,0.005,0.0,1.0,0.0,2.4999999999999996,7.225,7.4018874168396
1.0,0.0049,0.0,1.0,0.0,-4.0,7.6794,7.472980499267578
1.0,0.0049,0.0,1.0,0.0,-3.87,7.6777999999999995,7.430731773376465
1.0,0.0049,0.0,1.0,0.0,-3.7400000000000007,7.6804,7.391575813293457
1.0,0.0049,0.0,1.0,0.0,-3.61,7.6346,7.340944290161133
1.0,0.0049,0.0,1.0,0.0,-3.4800000000000004,7.6532,7.292237281799316
1.0,0.0049,0.0,1.0,0.0,-3.35,7.6125,7.243526935577393
1.0,0.0049,0.0,1.0,0.0,-3.22,7.593,7.20199728012085
1.0,0.0049,0.0,1.0,0.0,-3.09,7.59,7.166600704193115
1.0,0.0049,0.0,1.0,0.0,-2.96,7.5841,7.148429870605469
1.0,0.0049,0.0,1.0,0.0,-2.83,7.5402,7.119174957275391
1.0,0.0049,0.0,1.0,0.0,-2.7,7.5321,7.107008457183838
1.0,0.0049,0.0,1.0,0.0,-2.57,7.4757,7.158505439758301
1.0,0.0049,0.0,1.0,0.0,-2.44,7.4372,7.19046688079834
1.0,0.0049,0.0,1.0,0.0,-2.31,7.3979,7.209298610687256
1.0,0.0049,0.0,1.0,0.0,-2.18,7.3567,7.228321552276611
1.0,0.0049,0.0,1.0,0.0,-2.05,7.288899999999999,7.230339527130127
1.0,0.0049,0.0,1.0,0.0,-1.9200000000000002,7.1938,7.075078010559082
1.0,0.0049,0.0,1.0,0.0,-1.79,7.0558,6.866416931152344
1.0,0.0049,0.0,1.0,0.0,-1.66,6.8186,6.6353230476379395
1.0,0.0049,0.0,1.0,0.0,-1.53,6.514999999999999,6.1305389404296875
1.0,0.0049,0.0,1.0,0.0,-1.4,5.9202,5.804512977600098
1.0,0.0049,0.0,1.0,0.0,-1.2699999999999998,4.8869,4.9394211769104
1.0,0.0049,0.0,1.0,0.0,-1.1399999999999997,3.3288,3.3720357418060303
1.0,0.0049,0.0,1.0,0.0,-1.01,2.3169,2.059354066848755
1.0,0.0049,0.0,1.0,0.0,-0.8799999999999999,1.9327,1.5001027584075928
1.0,0.0049,0.0,1.0,0.0,-0.7500000000000002,1.641,1.5981452465057373
1.0,0.0049,0.0,1.0,0.0,-0.6200000000000001,2.0665,2.0830156803131104
1.0,0.0049,0.0,1.0,0.0,-0.49,3.2655,3.4271042346954346
1.0,0.0049,0.0,1.0,0.0,-0.3599999999999999,5.273000000000001,5.012877464294434
1.0,0.0049,0.0,1.0,0.0,-0.22999999999999976,6.1592,5.898738861083984
1.0,0.0049,0.0,1.0,0.0,-0.09999999999999964,6.5814,6.294973850250244
1.0,0.0049,0.0,1.0,0.0,0.02999999999999975,6.7946,6.523707389831543
1.0,0.0049,0.0,1.0,0.0,0.15999999999999986,6.956199999999999,6.669256210327148
1.0,0.0049,0.0,1.0,0.0,0.29,7.0517,6.759612083435059
1.0,0.0049,0.0,1.0,0.0,0.4200000000000001,7.1309,6.849967956542969
1.0,0.0049,0.0,1.0,0.0,0.5500000000000002,7.207000000000001,6.904281139373779
1.0,0.0049,0.0,1.0,0.0,0.6800000000000003,7.248,6.930042266845703
1.0,0.0049,0.0,1.0,0.0,0.8099999999999997,7.2797,6.954100608825684
1.0,0.0049,0.0,1.0,0.0,0.9399999999999998,7.3064,6.98095178604126
1.0,0.0049,0.0,1.0,0.0,1.0699999999999998,7.3581,7.008362770080566
1.0,0.0049,0.0,1.0,0.0,1.2,7.3964,7.036165714263916
1.0,0.0049,0.0,1.0,0.0,1.33,7.405700000000001,7.064492702484131
1.0,0.0049,0.0,1.0,0.0,1.4600000000000002,7.3964,7.092820644378662
1.0,0.0049,0.0,1.0,0.0,1.5900000000000003,7.4129000000000005,7.1211466789245605
1.0,0.0049,0.0,1.0,0.0,1.7200000000000004,7.4397,7.149474620819092
1.0,0.0049,0.0,1.0,0.0,1.8500000000000005,7.4513,7.17780065536499
1.0,0.0049,0.0,1.0,0.0,1.98,7.4807,7.20612907409668
1.0,0.0049,0.0,1.0,0.0,2.11,7.4649,7.221594333648682
1.0,0.0049,0.0,1.0,0.0,2.24,7.4863,7.227795600891113
1.0,0.0049,0.0,1.0,0.0,2.37,7.4921,7.2339935302734375
1.0,0.0049,0.0,1.0,0.0,2.4999999999999996,7.498800000000001,7.240196704864502
1.0,0.0102,0.0,1.0,0.0,-4.0,15.304699999999999,15.586170196533203
1.0,0.0102,0.0,1.0,0.0,-3.87,15.338199999999999,15.426003456115723
1.0,0.0102,0.0,1.0,0.0,-3.7400000000000007,15.270399999999999,15.326637268066406
1.0,0.0102,0.0,1.0,0.0,-3.61,15.299699999999998,15.307747840881348
1.0,0.0102,0.0,1.0,0.0,-3.4800000000000004,15.291899999999998,15.315469741821289
1.0,0.0102,0.0,1.0,0.0,-3.35,15.2179,15.325892448425293
