frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,8.41312026977539
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,8.36189079284668
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,8.310652732849121
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,8.259418487548828
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,8.208189010620117
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,8.156946182250977
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,8.105712890625
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,8.054478645324707
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,8.003240585327148
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,7.95201301574707
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,7.9007768630981445
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,7.849540710449219
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,7.798308849334717
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,7.7470703125
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,7.695836544036865
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,7.645121097564697
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,7.596928119659424
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.548741817474365
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,7.500547885894775
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,6.886981964111328
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,5.961524486541748
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,5.036068439483643
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,4.109668731689453
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.37180233001709
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,0.8154208064079285
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,1.516798496246338
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,3.081819772720337
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,4.6468424797058105
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,6.078711986541748
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.2168755531311035
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,6.355039119720459
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,6.493203163146973
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,6.631366729736328
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,6.769530773162842
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,6.907693862915039
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,7.045856475830078
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.184020042419434
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.9858,7.322184085845947
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.0149,7.4603471755981445
