frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,7.912376403808594
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,7.821052551269531
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,7.7618794441223145
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,7.7027058601379395
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,7.643535137176514
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,7.602625846862793
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,7.57266902923584
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,7.5427093505859375
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,7.544402599334717
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,7.569267749786377
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,7.588371753692627
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,7.573546409606934
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,7.495200157165527
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,7.44854211807251
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,7.442554950714111
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,7.427491188049316
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,7.392566680908203
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.327801704406738
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,6.953847408294678
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,6.472658634185791
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,6.066381931304932
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,5.070639133453369
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,4.077578544616699
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.681800365447998
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,1.907581090927124
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,1.815448522567749
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,2.726040840148926
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,4.217209339141846
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,5.428577899932861
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.203121185302734
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,6.625545978546143
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,6.907973766326904
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,7.003482341766357
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,7.090029239654541
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.147863388061523
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,7.197686195373535
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.198939323425293
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.9858,7.225675582885742
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.0149,7.273029327392578
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,7.3104248046875
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,7.254319190979004
1.0,0.005,0.0,1.0,0.0,1.33,7.1137,7.160120010375977
1.0,0.005,0.0,1.0,0.0,1.4600000000000002,7.1077,7.201691627502441
1.0,0.005,0.0,1.0,0.0,1.5900000000000003,7.1404,7.243526935577393
1.0,0.005,0.0,1.0,0.0,1.7200000000000004,7.1725,7.285364151000977
1.0,0.005,0.0,1.0,0.0,1.8500000000000005,7.1873,7.346621513366699
1.0,0.005,0.0,1.0,0.0,1.98,7.2038,7.423046588897705
1.0,0.005,0.0,1.0,0.0,2.11,7.2047,7.49939489364624
