frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,7.513388633728027
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,7.524478435516357
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,7.5355682373046875
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,7.546657562255859
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.555500000000001,7.557748317718506
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,7.568840503692627
1.0,0.005,0.0,1.0,0.0,-3.22,7.5128,7.579929828643799
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,7.591020107269287
1.0,0.005,0.0,1.0,0.0,-2.96,7.505799999999999,7.602110385894775
1.0,0.005,0.0,1.0,0.0,-2.83,7.466799999999999,7.589736461639404
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,7.568605422973633
1.0,0.005,0.0,1.0,0.0,-2.57,7.41,7.547476768493652
1.0,0.005,0.0,1.0,0.0,-2.44,7.3819,7.526346206665039
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,7.505216598510742
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,7.484086036682129
1.0,0.005,0.0,1.0,0.0,-2.05,7.192200000000001,7.456824779510498
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.109400000000001,7.321421146392822
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.103061199188232
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,6.898409366607666
1.0,0.005,0.0,1.0,0.0,-1.53,6.4761999999999995,6.70572566986084
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,6.083980083465576
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.878021240234375
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,3.357959508895874
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.5064492225646973
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,2.1001157760620117
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5092999999999999,2.003138780593872
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,2.0808024406433105
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,3.6305315494537354
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.940500000000001,5.485343933105469
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.262058258056641
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.308799999999999,6.748627662658691
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,7.096722602844238
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,7.196884632110596
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,7.287509918212891
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.356724262237549
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.894300000000001,7.425938606262207
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.4724578857421875
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.985799999999999,7.490854740142822
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.014899999999999,7.509250164031982
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,7.527648448944092
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,7.546045303344727
1.0,0.005,0.0,1.0,0.0,1.33,7.1137,7.564441204071045
1.0,0.005,0.0,1.0,0.0,1.4600000000000002,7.107700000000001,7.5828375816345215
1.0,0.005,0.0,1.0,0.0,1.5900000000000003,7.1404,7.601816654205322
1.0,0.005,0.0,1.0,0.0,1.7200000000000004,7.1725,7.622276782989502
1.0,0.005,0.0,1.0,0.0,1.8500000000000005,7.1873,7.642736434936523
1.0,0.005,0.0,1.0,0.0,1.98,7.2038,7.662341594696045
1.0,0.005,0.0,1.0,0.0,2.11,7.2047,7.6778788566589355
1.0,0.005,0.0,1.0,0.0,2.24,7.2332,7.703134059906006
1.0,0.005,0.0,1.0,0.0,2.37,7.241200000000001,7.728692054748535
1.0,0.005,0.0,1.0,0.0,2.4999999999999996,7.225,7.754254341125488
