frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,7.70305061340332
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,7.707012176513672
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,7.708553314208984
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,7.710091590881348
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.555500000000001,7.711633205413818
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,7.713172435760498
1.0,0.005,0.0,1.0,0.0,-3.22,7.5128,7.714712142944336
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,7.71625280380249
1.0,0.005,0.0,1.0,0.0,-2.96,7.505799999999999,7.717791557312012
1.0,0.005,0.0,1.0,0.0,-2.83,7.466799999999999,7.719331741333008
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,7.720872402191162
1.0,0.005,0.0,1.0,0.0,-2.57,7.41,7.703514575958252
1.0,0.005,0.0,1.0,0.0,-2.44,7.3819,7.69550895690918
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,7.6877264976501465
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,7.632267475128174
1.0,0.005,0.0,1.0,0.0,-2.05,7.192200000000001,7.576809883117676
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.109400000000001,7.5213518142700195
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.378922939300537
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,7.11000919342041
1.0,0.005,0.0,1.0,0.0,-1.53,6.4761999999999995,6.8410964012146
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,6.007583141326904
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.691609859466553
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,2.8056914806365967
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.298611879348755
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,1.8325408697128296
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5092999999999999,1.4933429956436157
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,1.2828933000564575
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,3.583362579345703
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.940500000000001,5.290886402130127
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.504973888397217
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.308799999999999,6.602999210357666
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,6.701023101806641
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,6.799047470092773
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,6.897073745727539
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,6.995097637176514
