frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,8.39708137512207
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,8.407757759094238
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,8.418432235717773
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,8.429109573364258
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,8.439785957336426
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,8.450462341308594
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,8.44234561920166
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,8.426104545593262
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,8.409862518310547
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,8.393637657165527
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,8.380568504333496
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,8.35819149017334
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,8.225529670715332
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,8.09286880493164
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,7.960207939147949
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,7.827547073364258
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,7.790447235107422
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.689026355743408
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,7.28888463973999
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,6.798167705535889
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,5.816431522369385
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.46885347366333
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,3.3109958171844482
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.4106175899505615
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,2.0250675678253174
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,2.2071309089660645
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,3.517045736312866
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,5.055153846740723
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,6.1970624923706055
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.686553478240967
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,6.997010231018066
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,7.2097673416137695
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,7.391297340393066
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,7.506654262542725
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.597893714904785
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,7.6526103019714355
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.697532653808594
