frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,8.538411140441895
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,8.527017593383789
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,8.515624046325684
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,8.497140884399414
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,8.460419654846191
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,8.44489574432373
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,8.43393325805664
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,8.422971725463867
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,8.41201114654541
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,8.401018142700195
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,8.384381294250488
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,8.340596199035645
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,8.240996360778809
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,8.141397476196289
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,8.041799545288086
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,7.961405277252197
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,7.959639549255371
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.736028671264648
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,7.224224090576172
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,6.529397487640381
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,5.556094169616699
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.3121018409729
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,3.1184628009796143
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.2277822494506836
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,2.059404134750366
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,2.554093599319458
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,3.832542657852173
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,5.255916595458984
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,6.186430931091309
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.590410232543945
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,6.854715824127197
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,7.080166339874268
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,7.168089866638184
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,7.231854438781738
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.302599906921387
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,7.373345375061035
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.436964511871338
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.9858,7.495668411254883
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.0149,7.54522705078125
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,7.587189674377441
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,7.629151821136475
1.0,0.005,0.0,1.0,0.0,1.33,7.1137,7.663805961608887
1.0,0.005,0.0,1.0,0.0,1.4600000000000002,7.1077,7.683792591094971
1.0,0.005,0.0,1.0,0.0,1.5900000000000003,7.1404,7.70377779006958
1.0,0.005,0.0,1.0,0.0,1.7200000000000004,7.1725,7.7276225090026855
1.0,0.005,0.0,1.0,0.0,1.8500000000000005,7.1873,7.752068996429443
1.0,0.005,0.0,1.0,0.0,1.98,7.2038,7.775265693664551
1.0,0.005,0.0,1.0,0.0,2.11,7.2047,7.790169715881348
1.0,0.005,0.0,1.0,0.0,2.24,7.2332,7.804040431976318
1.0,0.005,0.0,1.0,0.0,2.37,7.2412,7.81791353225708
1.0,0.005,0.0,1.0,0.0,2.4999999999999996,7.225,7.829672336578369
1.0,0.0049,0.0,1.0,0.0,-4.0,7.6794,8.379363059997559
1.0,0.0049,0.0,1.0,0.0,-3.87,7.6777999999999995,8.367971420288086
1.0,0.0049,0.0,1.0,0.0,-3.7400000000000007,7.6804,8.356579780578613
1.0,0.0049,0.0,1.0,0.0,-3.61,7.6346,8.345187187194824
1.0,0.0049,0.0,1.0,0.0,-3.4800000000000004,7.6532,8.314111709594727
1.0,0.0049,0.0,1.0,0.0,-3.35,7.6125,8.298563003540039
1.0,0.0049,0.0,1.0,0.0,-3.22,7.593,8.28760051727295
1.0,0.0049,0.0,1.0,0.0,-3.09,7.59,8.276640892028809
1.0,0.0049,0.0,1.0,0.0,-2.96,7.5841,8.265678405761719
1.0,0.0049,0.0,1.0,0.0,-2.83,7.5402,8.254677772521973
1.0,0.0049,0.0,1.0,0.0,-2.7,7.5321,8.234362602233887
1.0,0.0049,0.0,1.0,0.0,-2.57,7.4757,8.17416763305664
1.0,0.0049,0.0,1.0,0.0,-2.44,7.4372,8.074567794799805
1.0,0.0049,0.0,1.0,0.0,-2.31,7.3979,7.974968433380127
1.0,0.0049,0.0,1.0,0.0,-2.18,7.3567,7.875369548797607
1.0,0.0049,0.0,1.0,0.0,-2.05,7.288899999999999,7.7874555587768555
1.0,0.0049,0.0,1.0,0.0,-1.9200000000000002,7.1938,7.7903008460998535
1.0,0.0049,0.0,1.0,0.0,-1.79,7.0558,7.592581748962402
1.0,0.0049,0.0,1.0,0.0,-1.66,6.8186,7.0960564613342285
1.0,0.0049,0.0,1.0,0.0,-1.53,6.514999999999999,6.43611478805542
1.0,0.0049,0.0,1.0,0.0,-1.4,5.9202,5.496440887451172
1.0,0.0049,0.0,1.0,0.0,-1.2699999999999998,4.8869,4.213630199432373
1.0,0.0049,0.0,1.0,0.0,-1.1399999999999997,3.3288,3.0730032920837402
1.0,0.0049,0.0,1.0,0.0,-1.01,2.3169,2.185009002685547
1.0,0.0049,0.0,1.0,0.0,-0.8799999999999999,1.9327,2.0092363357543945
1.0,0.0049,0.0,1.0,0.0,-0.7500000000000002,1.641,2.477762460708618
1.0,0.0049,0.0,1.0,0.0,-0.6200000000000001,2.0665,3.7502095699310303
1.0,0.0049,0.0,1.0,0.0,-0.49,3.2655,5.156695365905762
1.0,0.0049,0.0,1.0,0.0,-0.3599999999999999,5.273000000000001,6.084590911865234
1.0,0.0049,0.0,1.0,0.0,-0.22999999999999976,6.1592,6.443475723266602
1.0,0.0049,0.0,1.0,0.0,-0.09999999999999964,6.5814,6.691732883453369
1.0,0.0049,0.0,1.0,0.0,0.02999999999999975,6.7946,6.906156063079834
1.0,0.0049,0.0,1.0,0.0,0.15999999999999986,6.956199999999999,7.024549961090088
1.0,0.0049,0.0,1.0,0.0,0.29,7.0517,7.095297336578369
1.0,0.0049,0.0,1.0,0.0,0.4200000000000001,7.1309,7.162550449371338
1.0,0.0049,0.0,1.0,0.0,0.5500000000000002,7.207000000000001,7.222309589385986
1.0,0.0049,0.0,1.0,0.0,0.6800000000000003,7.248,7.284292697906494
1.0,0.0049,0.0,1.0,0.0,0.8099999999999997,7.2797,7.338381290435791
1.0,0.0049,0.0,1.0,0.0,0.9399999999999998,7.3064,7.392468452453613
1.0,0.0049,0.0,1.0,0.0,1.0699999999999998,7.3581,7.445138454437256
1.0,0.0049,0.0,1.0,0.0,1.2,7.3964,7.485024452209473
1.0,0.0049,0.0,1.0,0.0,1.33,7.405700000000001,7.50501012802124
1.0,0.0049,0.0,1.0,0.0,1.4600000000000002,7.3964,7.524995803833008
1.0,0.0049,0.0,1.0,0.0,1.5900000000000003,7.4129000000000005,7.544476509094238
1.0,0.0049,0.0,1.0,0.0,1.7200000000000004,7.4397,7.568652153015137
1.0,0.0049,0.0,1.0,0.0,1.8500000000000005,7.4513,7.591846942901611
1.0,0.0049,0.0,1.0,0.0,1.98,7.4807,7.6150431632995605
1.0,0.0049,0.0,1.0,0.0,2.11,7.4649,7.6289825439453125
1.0,0.0049,0.0,1.0,0.0,2.24,7.4863,7.642855167388916
1.0,0.0049,0.0,1.0,0.0,2.37,7.4921,7.656726360321045
1.0,0.0049,0.0,1.0,0.0,2.4999999999999996,7.498800000000001,7.66747522354126
1.0,0.0102,0.0,1.0,0.0,-4.0,15.304699999999999,16.573219299316406
1.0,0.0102,0.0,1.0,0.0,-3.87,15.338199999999999,16.5512638092041
1.0,0.0102,0.0,1.0,0.0,-3.7400000000000007,15.270399999999999,16.523792266845703
1.0,0.0102,0.0,1.0,0.0,-3.61,15.299699999999998,16.496320724487305
1.0,0.0102,0.0,1.0,0.0,-3.4800000000000004,15.291899999999998,16.468847274780273
1.0,0.0102,0.0,1.0,0.0,-3.35,15.2179,16.469810485839844
1.0,0.0102,0.0,1.0,0.0,-3.22,15.223599999999996,16.499204635620117
1.0,0.0102,0.0,1.0,0.0,-3.09,15.1817,16.549325942993164
1.0,0.0102,0.0,1.0,0.0,-2.96,15.150599999999999,16.665302276611328
1.0,0.0102,0.0,1.0,0.0,-2.83,15.126899999999997,16.791231155395508
1.0,0.0102,0.0,1.0,0.0,-2.7,15.0581,16.82308578491211
1.0,0.0102,0.0,1.0,0.0,-2.57,14.980099999999998,16.87710189819336
1.0,0.0102,0.0,1.0,0.0,-2.44,14.9946,16.939016342163086
1.0,0.0102,0.0,1.0,0.0,-2.31,14.884599999999999,16.611406326293945
1.0,0.0102,0.0,1.0,0.0,-2.18,14.754499999999998,16.19170570373535
1.0,0.0102,0.0,1.0,0.0,-2.05,14.667799999999998,15.614792823791504
1.0,0.0102,0.0,1.0,0.0,-1.9200000000000002,14.468,14.870692253112793
1.0,0.0102,0.0,1.0,0.0,-1.79,14.245599999999998,14.126588821411133
1.0,0.0102,0.0,1.0,0.0,-1.66,13.902499999999996,13.231775283813477
1.0,0.0102,0.0,1.0,0.0,-1.53,13.4204,12.034171104431152
1.0,0.0102,0.0,1.0,0.0,-1.4,12.507799999999998,10.754283905029297
1.0,0.0102,0.0,1.0,0.0,-1.2699999999999998,10.8542,9.300541877746582
1.0,0.0102,0.0,1.0,0.0,-1.1399999999999997,7.8614,7.874194145202637
1.0,0.0102,0.0,1.0,0.0,-1.01,5.1446,6.628417491912842
1.0,0.0102,0.0,1.0,0.0,-0.8799999999999999,4.2973,5.391822338104248
1.0,0.0102,0.0,1.0,0.0,-0.7500000000000002,3.6676999999999995,4.930879592895508
1.0,0.0102,0.0,1.0,0.0,-0.6200000000000001,4.2411,6.607996463775635
1.0,0.0102,0.0,1.0,0.0,-0.49,7.0023,9.21464729309082
1.0,0.0102,0.0,1.0,0.0,-0.3599999999999999,11.037999999999998,10.7756929397583
1.0,0.0102,0.0,1.0,0.0,-0.22999999999999976,12.710699999999997,11.46125316619873
1.0,0.0102,0.0,1.0,0.0,-0.09999999999999964,13.462599999999998,12.057327270507812
1.0,0.0102,0.0,1.0,0.0,0.02999999999999975,13.882899999999998,12.520696640014648
1.0,0.0102,0.0,1.0,0.0,0.15999999999999986,14.169299999999998,12.905167579650879
1.0,0.0102,0.0,1.0,0.0,0.29,14.398699999999996,13.289642333984375
1.0,0.0102,0.0,1.0,0.0,0.4200000000000001,14.549299999999999,13.672392845153809
1.0,0.0102,0.0,1.0,0.0,0.5500000000000002,14.602699999999999,14.025629997253418
1.0,0.0102,0.0,1.0,0.0,0.6800000000000003,14.714,14.378870010375977
1.0,0.0102,0.0,1.0,0.0,0.8099999999999997,14.763199999999998,14.523311614990234
1.0,0.0102,0.0,1.0,0.0,0.9399999999999998,14.7794,14.573570251464844
1.0,0.0102,0.0,1.0,0.0,1.0699999999999998,14.914999999999997,14.585396766662598
1.0,0.0102,0.0,1.0,0.0,1.2,14.8758,14.5972261428833
1.0,0.0102,0.0,1.0,0.0,1.33,14.926999999999998,14.609416961669922
1.0,0.0102,0.0,1.0,0.0,1.4600000000000002,14.948,14.630946159362793
1.0,0.0102,0.0,1.0,0.0,1.5900000000000003,15.004199999999999,14.652473449707031
1.0,0.0102,0.0,1.0,0.0,1.7200000000000004,15.045399999999999,14.674001693725586
